case_id,variant,model,axis,bucket,achieved,target,ci_lo,ci_hi,tv,l1,l2,kl_vs_target,norm_entropy,unknown_rate,invalid_metadata_rate
C2_FORMAT,neutral,dry-run-stub,format,json,0.7734,0.25,0.7083,0.7747,0.5234,1.0468,0.6045,0.8704,0.5648,0.0404,0.0404
C2_FORMAT,neutral,dry-run-stub,format,markdown_table,0.0855,0.25,0.0586,0.1042,0.5234,1.0468,0.6045,0.8704,0.5648,0.0404,0.0404
C2_FORMAT,neutral,dry-run-stub,format,numbered_list,0.0678,0.25,0.0442,0.0885,0.5234,1.0468,0.6045,0.8704,0.5648,0.0404,0.0404
C2_FORMAT,neutral,dry-run-stub,format,plain_paragraph,0.0733,0.25,0.0521,0.0885,0.5234,1.0468,0.6045,0.8704,0.5648,0.0404,0.0404
C2_FORMAT,weak,dry-run-stub,format,json,0.7079,0.25,0.651,0.7161,0.4579,0.9159,0.5288,0.6658,0.6671,0.0326,0.0326
C2_FORMAT,weak,dry-run-stub,format,markdown_table,0.0956,0.25,0.0703,0.1159,0.4579,0.9159,0.5288,0.6658,0.6671,0.0326,0.0326
C2_FORMAT,weak,dry-run-stub,format,numbered_list,0.0996,0.25,0.0677,0.125,0.4579,0.9159,0.5288,0.6658,0.6671,0.0326,0.0326
C2_FORMAT,weak,dry-run-stub,format,plain_paragraph,0.0969,0.25,0.0742,0.112,0.4579,0.9159,0.5288,0.6658,0.6671,0.0326,0.0326
C2_FORMAT,explicit,dry-run-stub,format,json,0.6391,0.25,0.582,0.6432,0.3891,0.7782,0.4494,0.4854,0.7573,0.0404,0.0404
C2_FORMAT,explicit,dry-run-stub,format,markdown_table,0.1303,0.25,0.1029,0.1484,0.3891,0.7782,0.4494,0.4854,0.7573,0.0404,0.0404
C2_FORMAT,explicit,dry-run-stub,format,numbered_list,0.1153,0.25,0.0938,0.1289,0.3891,0.7782,0.4494,0.4854,0.7573,0.0404,0.0404
C2_FORMAT,explicit,dry-run-stub,format,plain_paragraph,0.1153,0.25,0.0885,0.1354,0.3891,0.7782,0.4494,0.4854,0.7573,0.0404,0.0404
C4_STYLE,neutral,dry-run-stub,style,definition_first,0.7794,0.3,0.6973,0.7793,0.4794,0.9588,0.5625,0.728,0.5509,0.0527,0.0527
C4_STYLE,neutral,dry-run-stub,style,analogy_centered,0.0619,0.3,0.043,0.0742,0.4794,0.9588,0.5625,0.728,0.5509,0.0527,0.0527
C4_STYLE,neutral,dry-run-stub,style,socratic_tutor,0.0598,0.2,0.0391,0.0762,0.4794,0.9588,0.5625,0.728,0.5509,0.0527,0.0527
C4_STYLE,neutral,dry-run-stub,style,formal_academic,0.099,0.2,0.0684,0.125,0.4794,0.9588,0.5625,0.728,0.5509,0.0527,0.0527
C4_STYLE,weak,dry-run-stub,style,definition_first,0.7253,0.3,0.666,0.7383,0.4253,0.8505,0.5001,0.57,0.6396,0.0332,0.0332
C4_STYLE,weak,dry-run-stub,style,analogy_centered,0.0828,0.3,0.0547,0.1055,0.4253,0.8505,0.5001,0.57,0.6396,0.0332,0.0332
C4_STYLE,weak,dry-run-stub,style,socratic_tutor,0.1111,0.2,0.0801,0.1348,0.4253,0.8505,0.5001,0.57,0.6396,0.0332,0.0332
C4_STYLE,weak,dry-run-stub,style,formal_academic,0.0808,0.2,0.0546,0.1016,0.4253,0.8505,0.5001,0.57,0.6396,0.0332,0.0332
C4_STYLE,explicit,dry-run-stub,style,definition_first,0.5809,0.3,0.5039,0.5879,0.2809,0.5618,0.3368,0.2599,0.8222,0.0586,0.0586
C4_STYLE,explicit,dry-run-stub,style,analogy_centered,0.1328,0.3,0.0918,0.1582,0.2809,0.5618,0.3368,0.2599,0.8222,0.0586,0.0586
