case_id,variant,model,axis,bucket,achieved,target,ci_lo,ci_hi,tv,l1,l2,kl_vs_target,norm_entropy,unknown_rate,invalid_metadata_rate
C2_FORMAT,neutral,LLaDA-8B-Instruct,format,json,0.0,0.25,0.0,0.0,0.75,1.5,0.866,2.0,0.0,0.0833,0.0
C2_FORMAT,neutral,LLaDA-8B-Instruct,format,markdown_table,0.0,0.25,0.0,0.0,0.75,1.5,0.866,2.0,0.0,0.0833,0.0
C2_FORMAT,neutral,LLaDA-8B-Instruct,format,numbered_list,0.0,0.25,0.0,0.0,0.75,1.5,0.866,2.0,0.0,0.0833,0.0
C2_FORMAT,neutral,LLaDA-8B-Instruct,format,plain_paragraph,1.0,0.25,0.75,1.0,0.75,1.5,0.866,2.0,0.0,0.0833,0.0
C2_FORMAT,weak,LLaDA-8B-Instruct,format,json,0.0,0.25,0.0,0.0,0.75,1.5,0.866,2.0,0.0,0.0,0.0
C2_FORMAT,weak,LLaDA-8B-Instruct,format,markdown_table,0.0,0.25,0.0,0.0,0.75,1.5,0.866,2.0,0.0,0.0,0.0
C2_FORMAT,weak,LLaDA-8B-Instruct,format,numbered_list,0.0,0.25,0.0,0.0,0.75,1.5,0.866,2.0,0.0,0.0,0.0
C2_FORMAT,weak,LLaDA-8B-Instruct,format,plain_paragraph,1.0,0.25,1.0,1.0,0.75,1.5,0.866,2.0,0.0,0.0,0.0
C2_FORMAT,explicit,LLaDA-8B-Instruct,format,json,0.5714,0.25,0.0833,0.5833,0.3571,0.7143,0.4226,0.6212,0.6894,0.4167,0.0
C2_FORMAT,explicit,LLaDA-8B-Instruct,format,markdown_table,0.0,0.25,0.0,0.0,0.3571,0.7143,0.4226,0.6212,0.6894,0.4167,0.0
C2_FORMAT,explicit,LLaDA-8B-Instruct,format,numbered_list,0.1429,0.25,0.0,0.25,0.3571,0.7143,0.4226,0.6212,0.6894,0.4167,0.0
C2_FORMAT,explicit,LLaDA-8B-Instruct,format,plain_paragraph,0.2857,0.25,0.0,0.4167,0.3571,0.7143,0.4226,0.6212,0.6894,0.4167,0.0
C4_STYLE,neutral,LLaDA-8B-Instruct,style,definition_first,0.0,0.3,0.0,0.0,0.7,1.4,0.8124,1.737,0.0,0.0,0.0
C4_STYLE,neutral,LLaDA-8B-Instruct,style,analogy_centered,1.0,0.3,1.0,1.0,0.7,1.4,0.8124,1.737,0.0,0.0,0.0
C4_STYLE,neutral,LLaDA-8B-Instruct,style,socratic_tutor,0.0,0.2,0.0,0.0,0.7,1.4,0.8124,1.737,0.0,0.0,0.0
C4_STYLE,neutral,LLaDA-8B-Instruct,style,formal_academic,0.0,0.2,0.0,0.0,0.7,1.4,0.8124,1.737,0.0,0.0,0.0
C4_STYLE,weak,LLaDA-8B-Instruct,style,definition_first,0.0,0.3,0.0,0.0,0.7,1.4,0.8124,1.737,0.0,0.0,0.0
C4_STYLE,weak,LLaDA-8B-Instruct,style,analogy_centered,1.0,0.3,1.0,1.0,0.7,1.4,0.8124,1.737,0.0,0.0,0.0
C4_STYLE,weak,LLaDA-8B-Instruct,style,socratic_tutor,0.0,0.2,0.0,0.0,0.7,1.4,0.8124,1.737,0.0,0.0,0.0
